year,name,nationality,school
1996,Yuka Kawai,Japan,
1996,Yuri Higuchi,Japan,
1996,Irina Chabolda,Russia,
1996,Marcelo Gomes,Brazil,
1996,Federico Bonelli,Italy,
1995,Kazue Yasumura,South Korea,
1995,Le Yin,China,
1995,Anna Tzigankova,Russia,
1995,Natalia Sologub,Russia,
1995,Gillian Murphy,USA,
1995,Valentina Scaglia,Italy,
1995,Kenta Kura,Japan,
1995,Barbora Kohoutkova,Czechoslovakia,
1995,Maki Kawamura,Japan,
1995,Gonzalo Garcia Portero,Spain,San Francisco Ballet School
1995,Jean-Luc Burke,France,
1995,Neli Beliakaite,Lithuania,
1994,Chi Cao,China,
1994,Nicolas Maire,Switzerland,
1994,Misako Yanai,Japan,Canada's National Ballet School
1994,Diana Vichneva,Russia,
1994,Atsuko Yamazoe Izumi,Japan,Canada's National Ballet School
1994,Nathalie Verspecht,Belgium,
1994,Jacek Tyski,Poland,Hamburg Ballet School - John Neumeier
1994,Goyo Montero,Spain,
1994,Emma Sandall,Australia,The Royal Ballet School
1994,Benjamin Millepied,France,
1994,Ruta Jezerskyte,Lithuania,
1994,Caroline Hebert,France,École de l'Opéra National de Paris
1994,Olivia Bell,Australia,École de l'Opéra National de Paris
1994,Nicolas Blanc,France,École de l'Opéra National de Paris
1993,Evelina Ricci,Italy,The Royal Ballet School
1993,Wim Vanlessen,Belgium,
1993,Asier Uriagereka,Spain,The Royal Ballet School
1993,Oksana Selezneva,Russia,The Royal Ballet School
1993,Mizuka Ueno,Japan,Académie Princesse Grace
1993,Roman Rykine,Russia,
1993,Lynn Rielly,USA,
1993,Shintaro Oue,Japan,
1993,Edwaard Liang,USA,
1993,Fernando Mora Carrillo,Mexico,
1993,Adriana Dias Duarte,Brazil,San Francisco Ballet School
1993,Marta Barahona Borrego,Spain,Canada's National Ballet School
1993,Kusha Alexi-Angst,Switzerland,
1993,Miwa Asano,Japan,Antwerp Royal Ballet School
1992,Jiri Bubenicek,Czechoslovakia,
1992,Youri Yanowsky,Spain,
1992,Mai Takaku,Japan,Antwerp Royal Ballet School
1992,Laetitia Pujol,France,École de l'Opéra National de Paris
1992,Hironao Takahashi,Japan,
1992,Ayako Nakano,Japan,The Royal Ballet School
1992,David Makhateli,Russia,The Royal Ballet School
1992,Sabine Hagenbuechle,Switzerland,
1992,Guillaume Charlot,France,École de l'Opéra National de Paris
1992,Sandrine Cassini,France,
1992,Fanny Agnese,France,École de l'Opéra National de Paris
1992,Otto Bubenicek,Czechoslovakia,
1991,Aki Saito,Japan,Antwerp Royal Ballet School
1991,Eva Zamazalova,Czechoslovakia,Académie Princesse Grace
1991,Christopher Wheeldon,Great Britain,
1991,Jacinta Ross,Australia,
1991,Yohei Sasaki,Japan,The Royal Ballet School
1991,Elia Lozano,Spain,
1991,Sarah Locher,Switzerland,
1991,Tomoko Furuya,Japan,Hamburg Ballet School - John Neumeier
1991,Stéphane Ferrand,France,
1991,David Dawson,Great Britain,
1991,Denis Caro,France,
1991,Jane Burn,Great Britain,
1991,Elodie Le Van,France,School of American Ballet
1991,Justin Meissner,Australia,The Royal Ballet School
1990,Stéfanie Walz,USA,
1990,Todd Williams,USA,
1990,Clair Thomas,Great Britain,
1990,Aleszja Popova,Hungary,
1990,Christiane Palha,Brazil,The Royal Ballet School
1990,Katja Björner,Sweden,
1990,Boris De Leeuw,Netherlands,
1990,Bérangère Barrau,France,
1990,Yuko Arai,Japan,
1990,Victor Alvarez Caballero,Spain,
1990,Carlos Acosta CBE,Cuba,
1989,Minako Hashimoto,Japan,
1989,Daria Klimentova,Czech Republic,
1989,Ethan Stiefel,USA,
1989,Monica Zamora,Spain,
1989,Yuko Tanaka,Japan,
1989,Hiroko Sakakibara,Japan,
1989,Mariko Miyauchi,Japan,
1989,Noriko Naraoka,Japan,
1989,Danilo Mazzotta,Italy,
1989,Tetsuya Kumakawa,Japan,
1989,Beatrice Knop,Germany,
1989,Ann De Vos,Belgium,
1989,Lucinda Dunn,Australia,
1989,Adam Cooper,Great Britain,
1988,Jaïs Zinoun,Morocco/Belgium,
1988,Misaki Watanabe,Japan,
1988,Ann Wixley,South Africa,
1988,Jian Wang,China,
1988,Marieke Simons,Netherlands,
1988,Megumi Nakamura,Japan,
1988,Lisa-Maree Cullum,New Zealand,
1988,Maria Del Mar Moreno,Spain,
1988,Bernice Coppieters,Belgium,
1988,Antonio Calvetti,Italy,
1988,Marie-Soizic Cabie,France,
1987,Raul Raimondo Rebeck,Germany,
1987,Giulia Menicucci,Italy,
1987,Christina McDermott,Switzerland,
1987,José Martinez,Spain,
1987,Takako Iyoku,Japan,
1987,Jun Liu,China,
1987,Frédéric Gafner,Switzerland,
1987,Dana Fouras,Australia,
1987,Larissa Fanlo,Argentina,
1987,Yilei Cai,China,
1987,Michael Stuart Cassidy,Great Britain,
1986,Tamako Akiyama,Japan,
1986,Gregor Seyffert,Germany,
1986,Nicola Jane Searchfield,New Zealand,
1986,Kaori Nakamura,Japan,
1986,Lydia Harmsen,Netherlands,
1986,Bart De Block,Belgium,
1986,Julie Kent,USA,
1986,Cécile Chaduteau,France,
1986,Darcey Bussell,Great Britain,
1986,Christine Blanc Kobayashi,France,
1985,Li Ying,China,
1985,Greet Vinckier,Belgium,
1985,Ariane Van de Vyver,Belgium,
1985,Edward Stierle,USA,
1985,Philip Neal,USA,
1985,Edwin Mota,Mexico,
1985,Sue Jin Kang,South Korea,
1985,Ben Huys,Belgium,
1985,Xu Gang,China,
1985,Stéfanie Eckhoff,Germany,
1985,Xavier Ferla,Switzerland,
1984,Kazumi Ushio,Japan,
1984,Muriel Valtat,France,
1984,Hisako Takabe,Japan,
1984,Nathalie Perriraz,Switzerland,
1984,Mehdi Manglunki,Belgium,
1984,Roberta Mazzoni,Italy,
1984,Kumi Hiramoto,Japan,
1984,Viviana Durante,Great Britain,
1984,Nadia Deferm,Belgium,
1984,Stéphane Dalle,France,
1984,Eugenio Buratti,Italy,
1983,Katarzyna Gdaniec,Poland,
1983,Miyako Yoshida,Japan,
1983,Marco Santi,Italy,
1983,Angela Reinhardt,Germany,
1983,Vincent Redmon,Great Britain,
1983,Stéphane Elizabé,France,
1983,Jyu Horiuchi,Japan,
1983,Ghislaine Caccia,Switzerland,
1983,Stéfanie Arndt,Germany,
1982,Sergio Neglio,Argentina,
1982,Shoichiro Sadamatsu,Japan,School of American Ballet
1982,Martino Müller,Switzerland,
1982,Katalin Volf,Hungary,
1982,Bonnie Moore,USA,
1982,Sandrine Marache,France,École de l'Opéra National de Paris
1982,Tibor Kovacs,Hungary,
1982,Thierry Guiderdoni,France,
1982,Kiyoko Kimura,Japan,
1982,Maurizio Giannetti,Italy,
1982,Delphine De Luca (Collerie de Borely),France,The Royal Ballet School
1981,Pablo Savoye,France,
1981,Olivier Munoz,France,
1981,Carlo Merlo,Italy,
1981,Marina Grandjean,Switzerland,
1981,Géry Hacault,France,
1981,Christine Camillo-Johnson,France,
1981,Leanne Benjamin,Australia,
1980,Nancy-Ann Raffa,USA,
1980,Junna Rikimaru,Japan,
1980,Marie-Laure Keller,Switzerland,
1980,Gen Horiuchi,Japan,
1980,Yves Haenni,Switzerland,
1980,Valérie Ghiglione,France,
1980,Patrick Armand,France,
1980,Alessandra Ferri,Italy,The Royal Ballet
1980,Deborah Bull,Great Britain,
1979,Sylvia-Inès Voisard,France,
1979,Mylène Rathfelder-Wille,Switzerland,
1979,Koen Onzia,Belgium,
1979,Phillip Broomhead,Great Britain,
1979,Jessica Funt,USA,
1979,Jan Broeckx,Belgium,
1978,Naomi Yoshida,Japan,
1978,Jasmine Stierli,Switzerland,
1978,Michel Fons,France,
1978,Isabelle Camboulas,France,
1978,Philippe Anota,France,
1977,Trinidad Vives Mateu,Spain,
1977,Martin Schläpfer,Switzerland,
1977,Frédéric Olivieri,France,
1977,Jean-Christophe Maillot,France,
1977,Bryony Brind,Great Britain,
1977,Serge Campardon,France,
1977,Paola Cantalupo,Italy,
1976,Andrew Ward,Great Britain,The Royal Ballet School
1976,Isabelle Muller,France,
1976,Rogert Johannsen,Australia,
1976,Ben Van Cauwenbergh,Belgium,
1976,Stéphane Prince,France,
1976,Susan Johnson,Great Britain,
1976,Jana Kurova,Czechoslovakia,
1976,Laure Balon,France,
1975,Pierre Wyss,Switzerland,
1975,Agnès Thore,France,
1975,Christiane Sturnick,France,
1975,Philippe Talard,France,
1975,Larissa Birioukoff,Switzerland,
1975,Sibylle Acatos,Switzerland,
1974,Soile Heinonen,Finland,
1974,Georges Canata,France,
1974,Riita Heinonen,Finland,
1974,Mohamed Bahiri,France,
1974,Margareth Asplanato,France,
1973,Tom Van Cauwenbergh,Belgium,
1973,Corinne Schmitt,France,
1973,Michel Gascard,France,
1973,Sylviane Bayard,France,
